index,date,time,price,open_24h,low_24h,high_24h,last_size,last_size_value,bid,bid_size,ask,ask_size,volume_24h,volume_30d,side
1,2024-06-16,03:08:25.415669,66119.85,66226.52,65800.86,66428.57,0.11229438,7424.887561443001,66119.85,0.03770562,66123.94,0.02487293,1746.99070479,270131.07507750,sell
2,2024-06-16,03:08:29.004177,66121.43,66226.52,65800.86,66428.57,0.0001813,11.987815258999998,66121.43,0.03373257,66123.91,0.01500000,1746.99088609,270131.07525880,sell
3,2024-06-16,03:08:32.963927,66124,66226.52,65800.86,66428.57,0.00115986,76.69458264,66122.06,0.03391387,66124.00,0.01500000,1746.99204595,270131.07641866,buy
4,2024-06-16,03:08:32.963927,66124,66226.52,65800.86,66428.57,0.00384014,253.92541736,66122.06,0.03391387,66124.00,0.01115986,1746.99588609,270131.08025880,buy
5,2024-06-16,03:08:34.741867,66122.06,66226.52,65800.86,66428.57,0.00007362,4.8679060572,66122.06,0.03784025,66124.02,0.01596628,1746.99595971,270131.08033242,sell
6,2024-06-16,03:08:35.812920,66124.02,66226.52,65800.86,66428.57,0.00027713,18.3249496626,66122.06,0.03784025,66124.02,0.01568915,1746.99623684,270131.08060955,buy
7,2024-06-16,03:08:39.232454,66119.36,66226.52,65800.86,66428.57,0.00069562,45.993949203199996,66119.36,0.03721825,66122.12,0.37185886,1746.99693246,270131.08130517,sell
8,2024-06-16,03:08:42.967622,66119.36,66226.52,65800.86,66428.57,0.00167483,110.7386877088,66119.36,0.00232517,66121.14,0.09000000,1746.99860729,270131.08298000,sell
9,2024-06-16,03:08:44.645389,66118.4,66226.52,65800.86,66428.57,0.00013351,8.827467583999999,66118.39,0.00200000,66121.13,0.05015363,1746.99874080,270131.08311351,sell
10,2024-06-16,03:08:44.645389,66118.39,66226.52,65800.86,66428.57,0.00009375,6.1985990625000005,66118.39,0.00190625,66121.13,0.05015363,1746.99883455,270131.08320726,sell
11,2024-06-16,03:08:45.382647,66120.69,66226.52,65800.86,66428.57,0.00071715,47.4184528335,66118.39,0.00013351,66120.69,0.14928285,1746.99955170,270131.08392441,buy
12,2024-06-16,03:08:45.772088,66120.72,66226.52,65800.86,66428.57,0.015,991.8108,66118.40,0.00013351,66121.42,0.06638862,1747.01455170,270131.09892441,buy
13,2024-06-16,03:08:45.772088,66121.42,66226.52,65800.86,66428.57,0.029075,1922.4802865,66118.40,0.00013351,66121.42,0.03731362,1747.04362670,270131.12799941,buy
14,2024-06-16,03:08:46.131191,66121.5,66226.52,65800.86,66428.57,0.00160595,106.187822925,66118.40,0.00013351,66121.50,0.14839405,1747.04523265,270131.12960536,buy
15,2024-06-16,03:08:46.727878,66121.43,66226.52,65800.86,66428.57,0.00144126,95.29817220179999,66118.40,0.00013351,66121.43,0.14855874,1747.04667391,270131.13104662,buy
16,2024-06-16,03:08:47.117855,66120.96,66226.52,65800.86,66428.57,0.00071883,47.5297296768,66118.40,0.00013351,66120.96,0.16428117,1747.04739274,270131.13176545,buy
17,2024-06-16,03:08:47.356957,66120.72,66226.52,65800.86,66428.57,0.00106692,70.5455185824,66118.40,0.00013351,66120.72,0.22703752,1747.04845966,270131.13283237,buy
18,2024-06-16,03:08:48.916465,66118.4,66226.52,65800.86,66428.57,0.0007,46.28288,66118.39,0.03059177,66118.40,0.15000000,1747.04915966,270131.13353237,buy
19,2024-06-16,03:08:48.916465,66118.4,66226.52,65800.86,66428.57,0.00006749,4.462330816,66118.39,0.03059177,66118.40,0.14993251,1747.04922715,270131.13359986,buy
20,2024-06-16,03:08:49.221809,66118.39,66226.52,65800.86,66428.57,0.00022913,15.1497067007,66118.39,0.03036264,66118.40,0.25593777,1747.04945628,270131.13382899,sell
21,2024-06-16,03:08:49.221809,66118.39,66226.52,65800.86,66428.57,0.01522913,1006.9255567007,66118.39,0.01513351,66118.40,0.25593777,1747.06468541,270131.14905812,sell
22,2024-06-16,03:08:49.221809,66118.39,66226.52,65800.86,66428.57,0.00013351,8.827466248899999,66118.39,0.01500000,66118.40,0.25593777,1747.06481892,270131.14919163,sell
23,2024-06-16,03:08:49.221809,66118.39,66226.52,65800.86,66428.57,0.015,991.77585,66116.65,0.00001950,66118.40,0.25593777,1747.07981892,270131.16419163,sell
24,2024-06-16,03:08:49.229920,66116.66,66226.52,65800.86,66428.57,0.00020228,13.3740779848,66116.65,0.00001950,66116.66,0.07786267,1747.08002120,270131.16439391,buy
25,2024-06-16,03:08:49.387284,66116.66,66226.52,65800.86,66428.57,0.0001349,8.919137434,66116.65,0.00001950,66116.66,0.83080302,1747.08015610,270131.16452881,buy
26,2024-06-16,03:08:49.499129,66116.66,66226.52,65800.86,66428.57,0.00367429,242.93178267140001,66116.65,0.00001950,66116.66,0.82712873,1747.08383039,270131.16820310,buy
27,2024-06-16,03:08:49.504112,66116.66,66226.52,65800.86,66428.57,0.0021899,144.788873734,66116.65,0.00001950,66116.66,0.52244322,1747.08602029,270131.17039300,buy
28,2024-06-16,03:08:49.978218,66116.66,66226.52,65800.86,66428.57,0.000352,23.27306432,66116.65,0.00001950,66116.66,0.45022764,1747.08637229,270131.17074500,buy
29,2024-06-16,03:08:50.126161,66116.66,66226.52,65800.86,66428.57,0.000352,23.27306432,66116.65,0.00001950,66116.66,0.44987564,1747.08672429,270131.17109700,buy
30,2024-06-16,03:08:50.154501,66116.66,66226.52,65800.86,66428.57,0.00018643,12.3261289238,66116.65,0.00001950,66116.66,0.44968921,1747.08691072,270131.17128343,buy
31,2024-06-16,03:08:50.209441,66116.66,66226.52,65800.86,66428.57,0.00006004,3.9696442664000005,66116.65,0.00001950,66116.66,0.44962917,1747.08697076,270131.17134347,buy
